Budget,Team_Size,Timeline,Priority,Domain,Risk
573869,11,17,High,Finance,Low
194813,7,24,High,Manufacturing,High
142288,8,13,Medium,Finance,Medium
845702,9,14,Critical,Retail,Medium
151328,23,12,High,Education,Medium
132591,14,17,Medium,Finance,Medium
584487,5,7,Low,Healthcare,Low
164664,9,7,Medium,AI,Low
490321,23,23,Low,Manufacturing,Medium
714590,10,5,Low,Finance,Low
307356,22,17,Medium,Finance,Low
988432,12,6,Low,Cybersecurity,Low
153097,7,21,Critical,AI,High
620226,2,15,Critical,Education,High
471136,8,8,High,Logistics,Low
567676,6,4,Medium,Logistics,Low
623125,15,20,Critical,Healthcare,Medium
191982,10,15,Medium,AI,Medium
309146,22,19,Medium,Retail,Medium
933456,2,15,High,Cybersecurity,Medium
670968,17,14,High,AI,Low
383572,7,3,High,Manufacturing,Medium
329659,2,11,Low,Cybersecurity,Medium
655149,13,21,Medium,Education,Low
204998,9,24,Medium,Logistics,Medium
659614,25,4,Medium,Manufacturing,Low
987624,14,14,Medium,Education,Low
348041,20,13,High,Manufacturing,Medium
129576,24,14,Medium,Manufacturing,Medium
297377,17,20,High,Education,High
614259,3,5,Low,E-Commerce,Low
730889,9,3,Critical,Healthcare,Low
447848,21,9,Medium,Agriculture,Low
851763,7,13,Low,Healthcare,Low
254887,20,7,Low,Retail,Low
482614,4,14,Critical,Manufacturing,High
205939,12,12,High,Education,Medium
265154,25,16,Critical,Agriculture,High
282664,24,20,High,E-Commerce,High
797860,20,8,Critical,Logistics,Low
869649,24,12,Medium,Education,Low
864234,2,21,Critical,Manufacturing,High
133955,7,22,High,Manufacturing,High
331625,22,21,Low,Cybersecurity,Medium
247475,12,5,Medium,Agriculture,Low
435039,7,23,Low,Agriculture,Medium
568325,2,11,Medium,E-Commerce,Low
826847,4,14,High,Finance,Medium
855408,2,4,Critical,Cybersecurity,Medium
868170,15,8,Critical,Cybersecurity,Low
497108,13,20,Critical,Finance,High
969067,17,21,Medium,Education,Low
573209,4,4,High,Healthcare,Medium
434198,10,6,Low,Agriculture,Low
278368,14,8,Low,Retail,Low
197627,12,22,Critical,Healthcare,High
552275,22,8,Critical,Education,Low
156157,5,13,Medium,E-Commerce,Medium
529161,24,20,High,Logistics,Medium
411847,9,6,Low,AI,Low
699544,19,18,Medium,Healthcare,Low
478356,2,16,Low,Logistics,Medium
963918,23,23,Critical,E-Commerce,Medium
201698,2,9,Medium,Logistics,Medium
185916,17,6,High,AI,Medium
593821,17,24,High,Finance,Medium
773045,19,15,Medium,Agriculture,Low
499974,13,8,Critical,Healthcare,Medium
376085,16,17,High,E-Commerce,Medium
977740,10,21,Low,Education,Low
888775,24,24,Low,Finance,Low
800596,13,20,Critical,Manufacturing,Medium
338564,19,4,Critical,Retail,Medium
538967,19,24,Critical,Manufacturing,Medium
347088,17,12,Low,AI,Low
995420,24,4,Medium,Finance,Low
893969,16,8,Medium,E-Commerce,Low
947732,8,7,Low,AI,Low
182175,23,16,Medium,Education,Medium
974625,21,11,High,Finance,Low
191254,14,20,Critical,Retail,High
441968,10,19,Critical,Healthcare,High
924758,24,22,Critical,Finance,Medium
534574,6,7,Low,Finance,Low
690016,5,12,High,AI,Low
376967,14,23,Critical,Manufacturing,High
738543,17,4,Medium,Logistics,Low
522548,6,22,Critical,Healthcare,High
515018,12,10,Low,Cybersecurity,Low
381631,13,3,High,Logistics,Low
426053,10,18,Low,E-Commerce,Low
240913,11,17,High,Logistics,Medium
864201,15,22,Low,E-Commerce,Low
563173,8,16,Critical,Retail,Medium
492073,3,19,Medium,Finance,High
426236,24,19,Critical,Education,High
918430,18,21,Low,Education,Low
302127,8,4,Medium,Healthcare,Low
578621,3,14,Medium,Logistics,Medium
486244,16,19,Critical,Finance,High
814263,2,10,High,Cybersecurity,Medium
722899,16,8,Critical,Manufacturing,Low
678115,13,14,Medium,Logistics,Low
885342,24,5,High,Healthcare,Low
505343,3,8,Medium,E-Commerce,Low
778827,9,24,Medium,Logistics,Low
783238,15,19,Low,Healthcare,Low
597126,6,23,Medium,Manufacturing,Medium
939767,2,10,High,Manufacturing,Medium
944193,11,23,High,AI,Medium
494763,13,17,High,E-Commerce,Medium
589368,11,24,Critical,Manufacturing,Medium
207282,2,19,High,Retail,High
778787,21,22,High,Logistics,Medium
817659,5,18,Low,Agriculture,Low
389913,22,13,High,Logistics,Medium
787991,24,23,High,E-Commerce,Medium
257212,18,10,Low,Manufacturing,Low
523727,23,13,Medium,Healthcare,Low
787237,17,12,High,AI,Low
524252,14,4,Medium,Agriculture,Low
861842,24,10,Critical,Agriculture,Low
631958,11,8,Medium,Logistics,Low
202344,17,7,High,Retail,Medium
899977,7,24,High,Finance,Medium
333049,13,10,High,AI,Low
926372,12,14,High,Manufacturing,Low
408334,16,6,Critical,Healthcare,Medium
765213,20,21,Low,Cybersecurity,Low
303993,18,6,Critical,Retail,Medium
412848,15,4,Medium,Education,Low
310026,12,16,Critical,Education,Medium
431752,24,8,Low,Cybersecurity,Low
448787,22,8,High,Healthcare,Low
104942,16,11,Medium,Education,Low
704272,7,18,Low,Education,Low
744328,15,23,Critical,AI,Medium
549865,17,15,Low,Healthcare,Low
659711,8,14,Low,Agriculture,Low
893612,18,9,Low,Healthcare,Low
757128,25,10,Medium,Agriculture,Low
427252,6,6,Critical,Retail,Medium
717265,11,8,Low,Healthcare,Low
412687,11,17,High,AI,Medium
820141,6,13,Critical,Agriculture,Medium
886553,8,8,Critical,Healthcare,Low
339513,9,7,Medium,Healthcare,Low
718337,18,8,Low,Agriculture,Low
845652,22,4,Critical,Logistics,Low
908713,19,22,Low,Manufacturing,Low
150290,23,6,Low,Healthcare,Low
823255,5,16,Critical,AI,Medium
229598,19,11,Critical,Education,Medium
315477,24,24,Low,Logistics,Medium
541315,23,6,High,Manufacturing,Low
735053,24,7,Critical,Finance,Low
636435,25,22,Low,Logistics,Low
219550,5,18,Medium,Manufacturing,Medium
309452,10,19,Medium,Agriculture,Medium
837606,15,12,Medium,Healthcare,Low
674765,17,9,Critical,Agriculture,Low
345896,2,3,Low,Finance,Medium
975804,20,24,Critical,Education,Medium
194458,18,5,Low,Logistics,Low
775636,9,17,High,Logistics,Low
586830,3,6,Medium,Healthcare,Low
993647,11,14,High,AI,Low
874415,5,6,Low,Healthcare,Low
993385,6,24,Medium,Agriculture,Medium
474894,16,22,High,Finance,Medium
490722,12,8,Low,AI,Low
519692,16,11,Critical,Cybersecurity,Low
938754,15,23,Medium,Finance,Low
238948,24,4,Medium,Finance,Low
536236,20,18,Critical,Education,Medium
741018,14,14,Low,Education,Low
606545,17,6,Critical,Cybersecurity,Low
148205,4,11,High,Healthcare,High
838793,23,19,Medium,Agriculture,Low
644315,18,22,Low,AI,Low
793856,25,10,Critical,Agriculture,Low
795951,23,23,Critical,Education,Medium
979789,19,22,Low,Healthcare,Low
774652,7,19,Critical,Cybersecurity,High
273438,4,18,High,E-Commerce,High
446968,10,4,Medium,Retail,Low
774567,14,15,Medium,Finance,Low
581395,16,21,Critical,Finance,Medium
998198,17,17,High,Finance,Low
621533,25,23,Low,Finance,Low
523037,15,4,Low,Finance,Low
930244,21,22,High,Retail,Medium
689648,8,23,Critical,Agriculture,Medium
480992,3,10,Critical,Agriculture,High
687360,21,22,Critical,Agriculture,Medium
850689,16,6,Low,E-Commerce,Low
102303,12,14,High,Retail,Medium
647341,13,6,Low,Education,Low
616342,6,16,Low,Logistics,Low
740524,8,9,Low,AI,Low
326061,16,9,High,Finance,Low
893928,15,4,Low,Cybersecurity,Low
579605,23,21,Medium,Cybersecurity,Low
104548,18,4,Critical,Manufacturing,Medium
606390,18,8,Medium,Education,Low
208584,14,24,High,Retail,High
503348,15,22,Medium,Logistics,Low
517196,12,12,Critical,Education,Low
244892,15,22,High,Retail,High
429159,24,20,Medium,E-Commerce,Medium
319899,21,12,High,Education,Low
844904,22,8,High,Finance,Low
897730,13,20,Critical,Manufacturing,Medium
698357,23,16,High,AI,Low
947568,2,19,Low,Healthcare,Medium
499371,6,4,Low,E-Commerce,Low
379947,7,12,High,Education,Medium
980155,3,12,Medium,Retail,Low
133875,13,17,Low,Manufacturing,Medium
808340,25,20,Medium,Retail,Low
507777,9,19,High,Healthcare,Medium
500118,14,16,High,Retail,Low
156415,2,11,Medium,Manufacturing,Medium
918859,16,10,High,Manufacturing,Low
673167,25,22,Medium,E-Commerce,Low
408467,16,8,Low,Education,Low
282237,25,19,Low,AI,Medium
142608,15,11,High,Education,Medium
268746,20,11,Low,Agriculture,Low
588983,24,7,Low,Education,Low
438302,21,4,High,Cybersecurity,Low
928278,20,20,High,Finance,Medium
922116,24,13,Medium,Education,Low
645895,4,19,Medium,AI,Medium
669460,19,15,Low,Agriculture,Low
331942,8,24,High,Agriculture,Medium
478323,11,9,Critical,Retail,Medium
963699,22,3,Low,Agriculture,Low
567315,9,23,Medium,Healthcare,Low
815706,12,15,Low,AI,Low
369054,19,12,Low,Retail,Low
962043,13,19,Critical,Cybersecurity,Medium
145981,11,23,Medium,Agriculture,Medium
638857,4,6,Medium,Retail,Low
659106,2,23,Low,E-Commerce,Medium
802897,22,9,Critical,Finance,Low
315565,19,16,Low,Education,Low
124906,16,13,Low,Finance,Medium
176806,3,8,High,Retail,High
173863,20,10,High,AI,Medium
506881,16,23,Critical,AI,Medium
431773,2,15,Low,Retail,Medium
106185,22,22,Low,Manufacturing,Medium
147727,24,5,High,Retail,Medium
211291,11,24,High,Manufacturing,High
190707,11,17,Critical,AI,High
962057,23,3,Critical,Education,Low
659381,9,7,Critical,Retail,Low
409307,22,7,High,Agriculture,Low
111691,19,20,Medium,Finance,Medium
143802,2,21,Critical,Retail,High
674122,4,12,Medium,Agriculture,Low
322022,15,23,Medium,Education,Medium
292930,9,22,High,E-Commerce,High
220190,7,24,Low,Retail,High
583671,22,20,Low,Logistics,Low
804313,4,11,Low,E-Commerce,Low
860835,20,18,High,Agriculture,Low
234443,23,23,Medium,Finance,Medium
398987,21,5,Medium,Agriculture,Low
609462,16,13,High,Manufacturing,Low
259797,20,21,High,Agriculture,High
549112,7,3,High,E-Commerce,Low
923824,9,23,Critical,Logistics,Medium
980919,13,7,High,Cybersecurity,Low
585331,16,14,High,Cybersecurity,Low
678469,5,8,Low,Logistics,Low
966589,6,20,Medium,Logistics,Medium
869177,22,5,Low,Healthcare,Low
990856,18,23,Low,Manufacturing,Low
707021,14,21,Medium,Healthcare,Low
678388,10,20,Critical,Education,Medium
483588,14,10,High,Education,Low
587274,18,19,Low,AI,Low
481540,18,3,Medium,Manufacturing,Low
817395,7,19,Medium,Cybersecurity,Medium
266956,7,21,Medium,Cybersecurity,High
476224,3,10,Critical,E-Commerce,High
165914,10,14,Medium,Healthcare,Medium
801062,8,19,High,AI,Medium
592489,16,4,Low,Agriculture,Low
208239,24,19,High,Logistics,High
706739,19,21,Medium,AI,Low
785428,14,14,Low,Retail,Low
363807,14,10,Critical,Agriculture,Medium
956934,13,18,Critical,Manufacturing,Medium
106918,18,7,Critical,Education,Medium
341162,4,19,High,E-Commerce,High
257538,7,8,High,Manufacturing,Medium
852146,5,24,Medium,AI,Medium
950576,12,6,Critical,Cybersecurity,Low
602290,8,21,Medium,AI,Low
123536,9,4,Medium,Manufacturing,Low
721121,7,7,Low,Manufacturing,Low
253999,3,8,High,Education,High
641737,14,22,Low,Logistics,Low
189913,8,17,Critical,Cybersecurity,High
278852,9,16,Medium,Manufacturing,Medium
960307,7,22,High,Education,Medium
859364,23,13,Critical,Manufacturing,Medium
719284,4,10,Critical,AI,Medium
238635,5,3,Medium,Retail,Medium
628859,23,16,Medium,Manufacturing,Low
200976,7,18,Low,Retail,Medium
627778,5,5,Critical,Education,Medium
732789,19,3,Critical,Retail,Low
541119,13,4,Critical,E-Commerce,Low
941272,17,15,High,Manufacturing,Low
943706,25,21,Low,AI,Low
240386,10,18,Medium,Finance,Medium
397026,21,20,Critical,Logistics,High
298202,2,3,Low,Retail,Medium
107543,14,23,Medium,Agriculture,Medium
528705,13,6,Medium,AI,Low
783226,20,11,High,Retail,Low
544136,20,14,High,AI,Low
891645,8,16,Critical,Education,Medium
488196,19,20,Critical,Logistics,High
421549,20,14,Critical,Education,Medium
996531,23,6,Medium,Cybersecurity,Low
921149,24,8,Low,E-Commerce,Low
633036,14,13,Low,Education,Low
508004,22,3,Low,Education,Low
594580,21,16,Low,Finance,Low
375871,9,14,Low,Manufacturing,Low
139589,25,15,Critical,Manufacturing,High
788049,18,12,Low,Education,Low
771394,17,17,Low,E-Commerce,Low
991884,23,19,High,E-Commerce,Medium
135241,21,19,Medium,Manufacturing,Medium
277715,23,4,High,E-Commerce,Medium
786837,2,8,Low,Logistics,Low
917546,14,14,Critical,AI,Medium
714549,8,19,Low,Finance,Low
194545,19,12,High,Agriculture,Medium
955129,10,10,Medium,Cybersecurity,Low
523579,20,3,High,Education,Low
526911,18,6,Low,Retail,Low
408545,12,6,High,Retail,Low
952646,20,11,Critical,AI,Low
690525,17,10,High,Cybersecurity,Low
814703,16,21,Low,Cybersecurity,Low
221916,10,5,Critical,E-Commerce,Medium
809794,24,10,High,AI,Low
470248,18,20,Low,Logistics,Medium
360316,11,5,Critical,Agriculture,Medium
179721,19,8,Critical,Agriculture,Medium
470711,8,21,High,Education,Medium
882401,23,9,Critical,E-Commerce,Low
346269,25,10,High,E-Commerce,Low
340341,8,10,High,Education,Low
916776,5,6,Low,Cybersecurity,Low
743644,2,20,Low,Cybersecurity,Medium
489227,21,13,Critical,Manufacturing,Medium
388078,17,8,High,AI,Low
332881,20,7,Low,Retail,Low
938095,15,18,Low,Retail,Low
464158,14,24,Medium,Cybersecurity,Medium
226215,24,19,Critical,Agriculture,High
822689,2,3,Medium,AI,Low
709231,5,13,High,Manufacturing,Medium
372315,7,20,High,E-Commerce,High
382495,17,22,High,Agriculture,Medium
292847,17,16,Medium,AI,Medium
834750,13,14,Critical,Logistics,Medium
572623,7,21,Medium,Manufacturing,Medium
819335,9,6,High,E-Commerce,Low
682316,15,15,Medium,Education,Low
938900,25,7,Critical,Healthcare,Low
285186,15,18,Medium,Retail,Medium
659921,25,13,Critical,Logistics,Medium
363165,19,21,Low,AI,Medium
203782,24,8,Low,E-Commerce,Low
953350,10,18,Low,Cybersecurity,Low
880762,12,11,High,Agriculture,Low
687569,19,11,High,Healthcare,Low
531762,5,14,Medium,Manufacturing,Low
703869,22,23,Medium,Logistics,Low
472358,12,24,Critical,Cybersecurity,High
182216,14,22,High,Cybersecurity,High
762398,6,8,High,AI,Low
761938,21,21,Critical,Finance,Medium
182954,7,13,Medium,Agriculture,Medium
432270,22,12,High,Manufacturing,Low
775958,14,11,Critical,Agriculture,Low
884225,20,19,Critical,AI,Medium
275445,7,3,Medium,E-Commerce,Medium
794180,10,5,Medium,Education,Low
516332,5,6,Low,Cybersecurity,Low
675074,3,3,Critical,Retail,Medium
902156,4,6,High,Manufacturing,Medium
262816,4,23,Critical,Logistics,High
340497,9,12,Critical,Education,Medium
237654,18,8,Low,Healthcare,Low
795781,13,13,Critical,Cybersecurity,Medium
666843,10,20,Critical,Education,Medium
831510,19,8,Critical,Manufacturing,Low
556106,18,23,High,Agriculture,Medium
605048,19,10,Low,Cybersecurity,Low
422823,13,16,High,Education,Medium
418319,2,3,Medium,Agriculture,Medium
400692,17,20,Low,Cybersecurity,Medium
892170,17,12,Low,AI,Low
936726,11,22,Medium,Healthcare,Low
674842,13,9,Critical,Retail,Low
558339,14,10,Medium,AI,Low
968668,14,10,High,Finance,Low
542750,22,10,High,Logistics,Low
779956,25,20,High,AI,Medium
297132,4,8,Medium,Logistics,Medium
215717,22,17,Critical,Logistics,High
834498,21,18,Medium,Agriculture,Low
120337,6,4,Low,Education,Medium
207241,11,11,Medium,Cybersecurity,Low
862427,2,10,Low,Education,Low
115440,17,9,High,AI,Medium
426711,17,14,Critical,Healthcare,Medium
446290,4,7,Low,Logistics,Medium
913331,14,5,Critical,Education,Low
301528,10,15,Low,Finance,Low
905459,24,10,Critical,Cybersecurity,Low
359168,25,4,Medium,Cybersecurity,Low
871041,5,19,Medium,Cybersecurity,Medium
508024,23,12,High,Education,Low
759726,25,4,Low,Logistics,Low
604605,22,12,Medium,Agriculture,Low
154617,23,9,Low,E-Commerce,Low
763653,15,13,Low,Education,Low
932978,10,21,Low,AI,Low
927477,9,3,Low,Manufacturing,Low
921533,24,18,Medium,Agriculture,Low
908239,4,10,Medium,Cybersecurity,Low
195841,23,22,High,Healthcare,High
162678,13,23,Medium,Retail,Medium
929912,5,7,Critical,E-Commerce,Medium
432125,19,23,High,Cybersecurity,Medium
868804,8,3,Critical,Agriculture,Low
859587,6,11,Low,Cybersecurity,Low
840951,16,20,High,Retail,Medium
830897,17,9,Medium,Retail,Low
464552,12,17,High,Manufacturing,Medium
681456,7,5,Medium,Cybersecurity,Low
410035,10,20,High,Cybersecurity,Medium
100754,22,19,Critical,Education,High
119629,21,14,Medium,Agriculture,Medium
856027,4,24,Critical,E-Commerce,High
649526,23,18,Medium,Manufacturing,Low
396882,12,16,High,Finance,Medium
200932,18,24,Low,Healthcare,Medium
975763,6,8,Low,E-Commerce,Low
212255,17,9,Low,Healthcare,Low
698749,22,15,Critical,Retail,Medium
754280,24,21,High,Healthcare,Medium
484150,9,22,Low,Healthcare,Medium
318877,22,18,Low,Cybersecurity,Low
939930,22,4,High,Retail,Low
879592,15,14,Low,Manufacturing,Low
378727,18,4,Low,Logistics,Low
181721,8,19,Low,Finance,Medium
860397,9,20,Critical,E-Commerce,Medium
302500,18,24,Medium,Manufacturing,Medium
755700,7,20,Critical,Finance,High
903506,22,21,High,Cybersecurity,Medium
836677,23,16,Low,Education,Low
930956,7,20,Critical,Retail,High
453907,23,8,Critical,Agriculture,Medium
430463,19,13,High,AI,Medium
901305,22,16,High,Manufacturing,Low
352415,20,20,Medium,AI,Medium
902903,19,11,High,Cybersecurity,Low
569237,14,3,Low,Logistics,Low
724702,2,19,Medium,Logistics,Medium
106887,11,10,Medium,Agriculture,Low
122755,24,11,Medium,Finance,Low
139569,16,14,Medium,Education,Medium
377860,13,21,Medium,E-Commerce,Medium
368691,11,5,Critical,Manufacturing,Medium
327999,25,5,High,Cybersecurity,Low
281301,17,21,Low,Manufacturing,Medium
773452,11,4,Critical,Finance,Low
918017,3,13,High,AI,Medium
536754,5,10,Low,AI,Low
156757,11,19,Low,Agriculture,Medium
666157,20,7,High,Retail,Low
831663,9,7,Low,AI,Low
567262,21,21,Low,E-Commerce,Low
552917,11,15,Medium,Education,Low
452497,4,18,Low,Retail,Medium
518582,10,5,Critical,Retail,Low
555596,24,7,Medium,Cybersecurity,Low
686464,8,18,Critical,Manufacturing,Medium
305625,19,22,Medium,E-Commerce,Medium
175124,10,16,High,Manufacturing,Medium
193946,5,24,Critical,AI,High
483010,13,9,High,Agriculture,Low
722725,22,3,High,Education,Low
466704,21,17,Medium,Cybersecurity,Low
147057,9,9,High,Education,Medium
894541,25,5,Low,Healthcare,Low
354854,21,7,High,Healthcare,Low
459946,24,6,High,Cybersecurity,Low
594078,2,13,Medium,Retail,Medium
322167,8,20,High,Retail,Medium
606489,21,7,Low,AI,Low
711324,23,19,Low,Logistics,Low
278593,3,12,Medium,Manufacturing,Medium
384459,3,17,Low,Finance,Medium
507523,23,11,High,Finance,Low
120005,11,23,Critical,E-Commerce,High
499194,18,6,High,Cybersecurity,Low
726111,19,5,Medium,E-Commerce,Low
624970,16,20,Low,Healthcare,Low
359409,18,12,High,Cybersecurity,Low
512509,25,8,Low,Agriculture,Low
817552,13,14,High,E-Commerce,Low
625600,10,4,High,AI,Low
954441,2,20,High,E-Commerce,High
259077,12,15,Medium,Finance,Medium
865344,14,19,Medium,AI,Low
352036,20,7,Critical,Logistics,Medium
734775,12,17,Medium,E-Commerce,Low
784167,6,21,Medium,Education,Medium
424008,24,19,Medium,AI,Medium
907455,6,23,Medium,Agriculture,Medium
171108,19,20,Low,Education,Medium
433025,6,3,High,AI,Medium
531228,11,17,High,Education,Low
916953,8,6,Medium,Education,Low
127470,21,22,High,Manufacturing,High
694587,21,10,Medium,E-Commerce,Low
820767,2,14,Low,Cybersecurity,Medium
240600,18,22,Critical,Agriculture,High
292913,14,18,Critical,Education,High
271742,8,10,Low,AI,Low
901677,2,11,Critical,E-Commerce,Medium
878427,23,9,Medium,Finance,Low
285679,16,22,Critical,Agriculture,High
579770,9,16,Critical,Healthcare,Medium
737460,25,15,High,AI,Low
741209,25,21,Low,Retail,Low
214626,16,17,Low,E-Commerce,Medium
643899,19,15,Low,Retail,Low
506216,18,23,Low,E-Commerce,Low
405323,16,15,High,Logistics,Medium
583757,7,16,High,Manufacturing,Medium
157196,24,19,Medium,Cybersecurity,Medium
970206,22,17,Low,Retail,Low
218669,7,21,Medium,AI,High
533648,12,17,Low,Education,Low
575718,20,9,Critical,Finance,Low
362230,12,23,Medium,Finance,Medium
195620,5,17,High,Finance,High
649262,24,15,Medium,AI,Low
677079,14,4,Medium,Agriculture,Low
692960,23,7,Medium,Education,Low
287555,24,4,Critical,Logistics,Medium
424553,25,17,High,Education,Medium
223264,6,9,Low,Manufacturing,Medium
902575,10,3,Critical,Cybersecurity,Low
996963,17,20,Low,Manufacturing,Low
617437,9,9,Critical,Cybersecurity,Low
530074,16,5,Low,E-Commerce,Low
673929,10,22,Medium,Healthcare,Low
293818,6,4,High,Healthcare,Medium
252436,3,24,High,Agriculture,High
191962,3,6,Critical,Education,High
269172,23,12,Medium,Cybersecurity,Low
885734,20,14,Low,Finance,Low
905843,11,13,High,AI,Low
960109,4,16,Low,Logistics,Medium
593687,6,6,High,Agriculture,Low
652654,15,19,Medium,E-Commerce,Low
741784,3,6,Low,Cybersecurity,Low
859246,24,22,High,AI,Medium
738419,12,11,High,Education,Low
744129,20,18,Critical,Cybersecurity,Medium
947228,7,22,Medium,Logistics,Medium
302957,2,6,Low,Cybersecurity,Medium
755843,5,9,Critical,AI,Medium
147702,12,14,Medium,Healthcare,Medium
771736,8,12,High,Finance,Low
422722,11,19,High,Healthcare,Medium
219366,23,13,High,AI,Medium
859584,20,22,Low,Education,Low
303440,12,13,Critical,Cybersecurity,Medium
935981,3,23,Medium,Cybersecurity,Medium
262934,22,17,High,Cybersecurity,Medium
922072,15,4,High,Manufacturing,Low
860180,23,13,Low,E-Commerce,Low
705445,23,13,High,Finance,Low
256557,10,3,High,AI,Medium
756944,19,8,Critical,Education,Low
724103,5,12,High,Healthcare,Low
384685,15,5,Critical,E-Commerce,Medium
489633,16,12,Medium,Retail,Low
417003,7,6,High,Healthcare,Medium
915572,8,5,Critical,Retail,Low
126146,17,19,Medium,E-Commerce,Medium
456637,17,19,High,Agriculture,Medium
250255,5,19,Medium,E-Commerce,High
859767,3,17,Critical,Retail,High
221462,2,12,Low,Manufacturing,Medium
191305,12,17,Low,Finance,Medium
645865,23,12,Low,Manufacturing,Low
895338,11,23,Medium,Agriculture,Low
310297,8,12,High,Retail,Low
434652,16,24,Low,Logistics,Medium
256574,7,11,Low,Healthcare,Medium
753205,19,19,Low,E-Commerce,Low
668882,13,20,High,Logistics,Medium
248433,24,12,Medium,Education,Low
174703,11,22,High,Retail,High
565198,3,7,Low,Cybersecurity,Low
808308,3,6,Critical,Healthcare,Medium
190302,15,15,Medium,Manufacturing,Medium
721549,22,17,High,Logistics,Low
448475,8,24,Low,Cybersecurity,Medium
695370,6,5,Critical,Finance,Medium
577714,11,24,Critical,Cybersecurity,Medium
342948,9,7,High,Agriculture,Low
511122,7,24,High,Agriculture,Medium
575301,17,3,Low,Cybersecurity,Low
218370,13,18,Critical,Education,High
395968,13,22,Medium,Retail,Medium
207932,14,6,High,Retail,Medium
780999,4,12,Critical,AI,Medium
719221,15,10,Medium,Retail,Low
266744,17,15,Low,Agriculture,Medium
318353,24,21,Critical,AI,High
694764,12,20,Medium,Education,Low
794799,23,5,Critical,Finance,Low
720928,21,17,High,Retail,Low
202397,16,8,High,AI,Medium
172988,21,6,Critical,Agriculture,Medium
618306,22,24,Low,Finance,Low
328182,6,21,Low,Education,Medium
792984,6,17,High,AI,Medium
745474,20,17,Medium,E-Commerce,Low
814622,12,12,High,AI,Low
852658,13,5,Low,Manufacturing,Low
635218,14,7,High,Healthcare,Low
487158,19,4,Low,Retail,Low
960622,13,6,High,Healthcare,Low
346668,15,21,Critical,Agriculture,High
846348,14,15,Critical,AI,Medium
671598,8,24,Medium,Cybersecurity,Low
245824,8,20,Critical,Agriculture,High
980764,15,7,High,Education,Low
240800,2,5,Low,Education,Medium
856379,17,24,Critical,Education,Medium
188776,6,23,Critical,Cybersecurity,High
927251,24,22,Critical,Manufacturing,Medium
288531,16,19,Critical,Retail,High
959907,16,15,High,E-Commerce,Low
294816,15,22,Low,Manufacturing,Medium
622355,25,10,High,AI,Low
672696,20,14,Low,Healthcare,Low
695748,17,14,Low,Manufacturing,Low
604923,24,5,Medium,Retail,Low
887042,10,17,Low,Retail,Low
739705,4,10,Critical,Finance,Medium
817303,22,20,High,Manufacturing,Medium
155337,12,20,Low,Cybersecurity,Medium
576089,18,18,High,AI,Low
470057,11,12,Medium,Healthcare,Low
828813,21,12,High,Healthcare,Low
759868,17,21,Medium,Manufacturing,Low
154127,23,12,Low,Logistics,Low
608307,4,7,Low,Logistics,Low
364294,6,22,High,Logistics,High
999529,10,3,Low,Manufacturing,Low
283095,20,7,Critical,Agriculture,Medium
947082,7,11,Medium,Cybersecurity,Low
289592,18,4,High,Finance,Medium
252117,21,7,Critical,AI,Medium
907789,14,10,Critical,Education,Low
321099,20,14,Low,Logistics,Low
892182,5,4,Medium,Cybersecurity,Low
518114,17,12,Critical,Retail,Low
345011,14,24,Critical,Cybersecurity,High
375382,6,19,Critical,Healthcare,High
402820,16,15,High,Retail,Medium
816047,3,6,High,AI,Medium
740140,22,11,High,Logistics,Low
380061,5,11,Critical,Cybersecurity,Medium
910707,23,10,Medium,Retail,Low
453796,23,8,High,Retail,Low
111091,23,3,Low,Healthcare,Low
531225,5,19,Low,Cybersecurity,Medium
468591,9,12,High,E-Commerce,Low
135695,2,22,Low,Healthcare,High
722999,23,9,Low,Finance,Low
190582,21,7,Critical,Manufacturing,Medium
942216,7,6,Medium,Logistics,Low
408877,16,24,Low,Cybersecurity,Medium
389809,15,24,High,Logistics,Medium
269833,4,11,Low,AI,Medium
507466,12,4,High,Logistics,Low
286572,16,5,Critical,E-Commerce,Medium
739947,14,8,Critical,Finance,Low
250861,19,16,Medium,Manufacturing,Medium
774588,5,17,High,Finance,Medium
136554,4,5,High,Cybersecurity,High
119676,17,7,Low,Healthcare,Low
796889,14,11,Medium,Agriculture,Low
510339,20,3,Critical,Cybersecurity,Low
557239,14,5,Medium,Healthcare,Low
503097,24,18,Low,Manufacturing,Low
661307,13,13,High,AI,Low
157875,22,23,Low,Agriculture,Medium
660596,12,5,Critical,Logistics,Low
779259,8,8,Low,AI,Low
792829,8,12,Critical,Finance,Low
761249,24,14,Critical,Finance,Medium
763529,16,9,Medium,Healthcare,Low
302472,2,21,Medium,Cybersecurity,High
507652,4,20,High,Cybersecurity,High
659876,16,3,Low,Agriculture,Low
158777,12,4,Critical,Finance,Medium
321960,22,24,Critical,Retail,High
256189,25,21,Medium,Finance,Medium
138669,25,7,Critical,Healthcare,Medium
594109,21,4,Medium,Education,Low
115063,7,23,Low,Logistics,High
960607,5,17,Medium,Manufacturing,Low
167064,5,6,Critical,Manufacturing,High
937995,21,10,Low,E-Commerce,Low
546915,12,24,Critical,Agriculture,Medium
226670,23,21,Medium,Agriculture,Medium
977057,8,4,Medium,Agriculture,Low
166292,5,11,Medium,AI,Medium
276214,24,14,Medium,Cybersecurity,Medium
355479,20,4,Medium,Finance,Low
929478,22,22,Critical,Education,Medium
